Use_Case_ID,Department,Use_Case,Business_Problem,AI_Approach,Business_Value_1_5,Feasibility_1_5,Data_Readiness_1_5,Implementation_Effort_1_5,Risk_1_5,Estimated_Annual_Value_kEUR,Estimated_Implementation_Cost_kEUR,Time_to_Implement_Months,Primary_Stakeholders,Student_Notes
AI-11,Customer Service,Ticket Triage & Routing,Incoming service tickets are manually categorized and routed to specialist teams.,Text classification + workflow automation,4,5,5,2,2,170,50,2,Customer Service; IT,A practical automation opportunity with measurable cycle-time impact.
AI-12,Customer Service,Voice of Customer Summarization,"Customer feedback is spread across tickets and notes, making recurring issues hard to spot.",NLP summarization + topic clustering,4,5,4,2,2,130,40,2,Customer Service; Product; Quality,Useful for trend identification and management reporting.
AI-13,Supply Chain,Demand Forecasting,Planning teams rely on forecasts that require manual adjustments and may react slowly to demand changes.,Time-series forecasting,5,4,5,4,3,380,180,6,Supply Chain Planning; Sales; Data Team,"High value, but requires careful validation and ongoing forecast monitoring."
AI-14,Supply Chain,Inventory Replenishment Recommendation,"Planners manually balance service levels, stock coverage and replenishment decisions.",Optimization + predictive analytics,5,4,4,4,3,320,160,6,Supply Chain; Procurement; Finance,Should start as a recommendation tool before any automated ordering.
AI-15,Supply Chain,Logistics Delay Prediction,Teams often learn about delivery delays after they have already affected production or customers.,Predictive analytics,4,3,3,4,3,210,130,5,Logistics; Supply Chain; Customer Service,Depends on consistent logistics event data.
AI-16,Sales,Lead Prioritization,Sales teams spend similar effort on leads with very different conversion potential.,Predictive lead scoring,4,5,4,2,3,200,70,3,Sales; CRM Team; Data Team,Easy to pilot if historical CRM outcomes are available.
AI-17,Sales,Proposal Drafting Assistant,Sales teams repeatedly adapt similar proposal content for different prospects.,GenAI drafting assistant,3,5,4,2,2,110,35,2,Sales; Marketing; Legal,"Low implementation effort, but value depends on actual proposal volume."
AI-18,Sales,Customer Churn Prediction,Account teams do not always identify declining customer engagement early enough.,Predictive classification,4,3,3,4,3,230,140,5,Sales; Customer Success; Data Team,Requires a stable definition of churn and enough historical examples.
AI-19,Operations,Predictive Maintenance,"Maintenance is partly calendar-based, which can cause unnecessary service or unexpected equipment downtime.",Predictive maintenance model,5,3,4,5,3,450,260,9,Plant Operations; Maintenance; IT/OT,High potential value but technically demanding and dependent on equipment sensor data.
AI-20,Operations,Visual Quality Inspection,Some product defects are identified through manual inspection and sampling.,Computer vision,5,3,3,5,3,390,250,9,Quality; Operations; IT/OT,"Requires image data, hardware setup and careful false-positive control."
AI-21,Operations,Shift Handover Summarization,Important information can be lost or repeated during shift handovers.,GenAI summarization,3,5,4,2,2,90,30,2,Operations; Plant Supervisors,Simple pilot using structured shift notes.
AI-22,IT,Internal IT Helpdesk Assistant,"Employees repeatedly contact IT for common access, software and troubleshooting questions.",Enterprise search / RAG assistant,4,5,5,2,2,150,45,2,IT Service Desk; Information Security,Strong quick-win candidate with approved knowledge articles.
AI-23,IT,Incident Root Cause Assistant,"IT teams spend time reviewing logs, tickets and past incidents during troubleshooting.",GenAI + incident knowledge retrieval,4,4,4,3,3,210,90,4,IT Operations; Information Security,Should surface evidence and related incidents rather than generate unsupported conclusions.
AI-24,IT,Secure Enterprise Search / RAG,Employees search across multiple document repositories and often cannot find the latest approved information.,Secure enterprise search / RAG,5,4,4,4,4,280,150,6,IT; Information Security; Legal; All Functions,"Broad value, but access control and information governance are central design requirements."
